document_id,file_name,file_type,authority,document_type,instrument_kind,title,primary_issue_type,scope,source_priority,page_count,sha256,source_url,extraction_status,processing_status,human_review_required,local_file_path
bse-checklist-direct-listing-3157e150,BSE_Checklist_Direct_Listing.doc,doc,BSE,CHECKLIST,CHECKLIST,"CHECKLIST FOR LISTING COMPANIES, UNDER DIRECT LISTING",PREFERENTIAL,COMPANY,P2,1,3157e150399fd66de84e2133b4f34187c0bb1296fb8a7d2c848c0766baff8cfb,https://www.bseindia.com/downloads1/CHECKLIST_FOR_DIRECT_LISTING_Nation_wide.doc,NOT_STARTED,PENDING_EXTRACTION,False,fetched/BSE_Checklist_Direct_Listing.doc
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,pdf,BSE,FAQ,FAQ,FREQUENTLY ASKED QUESTIONS,UNKNOWN,COMPANY,P1,7,facc680463cca862f41352683b241496404297b4a0e639bee29d8a8b916fbd30,https://www.bseindia.com/downloads1/FAQ_on_Listing.pdf,NOT_STARTED,PENDING_EXTRACTION,True,fetched/BSE_FAQ_on_Listing.pdf
bse-inprinciple-privateplacement-debtinstruments-bb498266,BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc,doc,BSE,CHECKLIST,CHECKLIST,Documents / Information for in-principle approval of Private Placement Issue of Debt (PPDI),PRIVATE_PLACEMENT,COMPANY,P2,1,bb498266265ab68bd669fb48933bfd12fadfee628053e0aeb95e0f1cefe60a99,https://www.bseindia.com/downloads1/In_principle_approval_of_PPDI.doc,NOT_STARTED,PENDING_EXTRACTION,False,fetched/BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc
bse-post-issue-checklist-1d331cda,BSE_Post_Issue_Checklist.doc,doc,BSE,CHECKLIST,CHECKLIST,"Documents required for granting listing approvals, for the securities issued under Institutional Placement Programme (IPP) - Post Allotment",GENERAL,COMPANY,P2,1,1d331cdaed32bf1ba7740902cad675ea7d72e89083a02a7539baf7881e6b089c,https://www.bseindia.com/downloads/IPP_%20Post_Issue_Final.doc,NOT_STARTED,PENDING_EXTRACTION,False,fetched/BSE_Post_Issue_Checklist.doc
281-qip-invits-0-20260504153924-8caab4a5,281_QIP_InvITs_0_20260504153924.docx,docx,NSE,UNKNOWN,UNKNOWN,Format of the confirmation to be submitted on the letter head of the company:,UNKNOWN,REIT_INVIT,P2,1,8caab4a5910d6c10b8062405cd8b62dc42a513dec47597d3a45844920f0e9ddd,,NOT_STARTED,DEFERRED,True,originals/281_QIP_InvITs_0_20260504153924.docx
281-qip-reits-0-20260504154156-975ba7b5,281_QIP_REITS_0_20260504154156.docx,docx,NSE,CHECKLIST,CHECKLIST,"issued under SEBI (Real Estate Investment Trusts) Regulations, 2014",UNKNOWN,REIT_INVIT,P2,1,975ba7b504883e435d77731b015b9786d977e55225a7be2b03d561b2fe36db1e,,NOT_STARTED,DEFERRED,True,originals/281_QIP_REITS_0_20260504154156.docx
checklist-recommencement-of-trading-e30818a4,Checklist_Recommencement_of_Trading.xlsx,xlsx,NSE,CHECKLIST,CHECKLIST,[sheet: Instructions],GENERAL,COMPANY,P2,2,e30818a46e615597695fc36f2c26d979a9681875c9928691d90be21a5ba463d3,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Checklist_Recommencement_F_extracted/Checklist_Recommencement/Checklist_Recommencement_of_Trading.xlsx
form-of-listing-aplication-487b76f1,Form of Listing Aplication.docx,docx,NSE,LISTING_REQUIREMENT,CHECKLIST,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,GENERAL,COMPANY,P2,1,487b76f1350ecdb230721c8fe1a71acf8be3e83c03aee9072669ae51ba089c9d,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Checklist_Recommencement_F_extracted/Checklist_Recommencement/Form of Listing Aplication.docx
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,pdf,MCA,RULE,RULES,SHARE CAPITAL & DEBENTURES,PRIVATE_PLACEMENT,COMPANY,P0,11,1f737c304cbe9de4a6b2d87da2b94bca32b25ee00335f64cde13003f5d2a2ecd,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Companies (Prospectus and Allotment of Securities) Rules.pdf
companies-share-capital-and-debentures-rules-64039399,Companies (Share Capital and Debentures) Rules.pdf,pdf,MCA,RULE,RULES,"COMPANIES (SHARE CAPITAL AND DEBENTURES) RULES, 2014",UNKNOWN,COMPANY,P0,25,640393992f3e8acfcb4d8fb4b1d38a3b4b4a1b06242b0838bd2d6a5b10941423,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Companies (Share Capital and Debentures) Rules.pdf
download-post-allotment-a57e1202,Download Post-Allotment.docx,docx,NSE,CHECKLIST,CHECKLIST,List of documents/details required for listing of shares/ securities issued on Preferential/Private Placement basis (Post Allotment),PRIVATE_PLACEMENT,COMPANY,P2,1,a57e120201dcba4777049afc7a945c5a2b922cf2a2850f9db47605704ecb6b87,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Download_Post-Allotment_20260504153404_extracted/Download Post-Allotment/Download Post-Allotment.docx
points-to-remember-post-allotment-f6a19833,Points to remember_post allotment.docx,docx,UNKNOWN,UNKNOWN,UNKNOWN,Points to be Remembered.,PREFERENTIAL,COMPANY,P3,1,f6a198339a9780062db4f20dec3688e3f74eac61a36caa2f26ef26995b4997a0,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Download_Post-Allotment_20260504153404_extracted/Download Post-Allotment/Points to remember_post allotment.docx
download-pre-allotment-ace085af,Download_Pre-Allotment_.docx,docx,NSE,CHECKLIST,CHECKLIST,"issued under QIP under Regulation 28(1) of the SEBI (LODR) Regulations, 2015",QIP,COMPANY,P2,1,ace085af823ff28b152e2f975be94ba62ae43594a45773b9e37f580accc283bb,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Download_Pre-Allotment_.docx
part-i-d6ff87e8,Part I.pdf,pdf,NSE,UNKNOWN,UNKNOWN,LETTER OF APPLICATION,GENERAL,COMPANY,P2,1,d6ff87e89be7478c879fc14a56126b3e4b2182122e2d9539c31d4e62f94cd031,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/Part I.pdf
