document_id,file_name,authority,instrument_label,citation,citation_uid,provision_type,number,depth,page_from,page_to,citation_ambiguous,amended,body_chars,heading
bse-checklist-direct-listing-3157e150,BSE_Checklist_Direct_Listing.doc,BSE,"CHECKLIST FOR LISTING COMPANIES, UNDER DIRECT LISTING","CHECKLIST FOR LISTING COMPANIES, UNDER DIRECT LISTING Annexure II",bse-checklist-direct-listing-3157e150#0,ANNEXURE,II,0,1,1,False,False,5153,
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#0,QUESTION,1,2,2,2,True,False,399,Whether a listed entity that has listed its specified securities is required to take Stock
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q2,bse-faq-on-listing-facc6804#1,QUESTION,2,2,2,3,True,False,346,When should the application seeking Stock Exchange's approval for the name change
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#2,QUESTION,1,2,3,3,True,False,577,Whether prior intimation of Board of Directors meeting is required to be given to Stock
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q2,bse-faq-on-listing-facc6804#3,QUESTION,2,2,3,3,True,False,343,Whether prior intimation of Board of Director's meeting for determination of issue price
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#4,QUESTION,1,2,3,4,True,False,326,Is it necessary to take the separate approval of the shareholders if the company
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#5,QUESTION,1,2,4,4,True,False,340,What is the validity of the 'Observation Letter' or No-objection letter issued by the Stock
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q2,bse-faq-on-listing-facc6804#6,QUESTION,2,2,4,4,True,False,384,What is the process required to be followed for the scheme of merger of wholly owned
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q3,bse-faq-on-listing-facc6804#7,QUESTION,3,2,4,5,False,False,534,"When does the information pertaining to unlisted company, as mentioned in Para 3(a)"
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#8,QUESTION,1,2,5,5,True,False,842,Whether it is necessary to include the following disclosures in explanatory statement
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q2,bse-faq-on-listing-facc6804#9,QUESTION,2,2,5,6,True,False,475,What is the recourse available to the company if it has not made the preferential
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#10,QUESTION,1,2,6,7,True,False,561,Within what time the application for listing of further securities shall be made by the
bse-faq-on-listing-facc6804,BSE_FAQ_on_Listing.pdf,BSE,FREQUENTLY ASKED QUESTIONS,FREQUENTLY ASKED QUESTIONS Q1,bse-faq-on-listing-facc6804#11,QUESTION,1,2,7,7,True,False,1204,"Recent amendment to Regulation 42 of SEBI (ICDR) Regulations 2009, inter-alia,"
bse-inprinciple-privateplacement-debtinstruments-bb498266,BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc,BSE,Documents / Information for in-principle approval of Private Placement Issue of ,Documents / Information for in-principle approval of Private Placement Issue of  item 2,bse-inprinciple-privateplacement-debtinstruments-bb498266#0,ITEM,2,2,1,1,False,False,0,Credit rating certificate of the proposed issue.
bse-inprinciple-privateplacement-debtinstruments-bb498266,BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc,BSE,Documents / Information for in-principle approval of Private Placement Issue of ,Documents / Information for in-principle approval of Private Placement Issue of  item 3,bse-inprinciple-privateplacement-debtinstruments-bb498266#1,ITEM,3,2,1,1,False,False,0,Confirmation/consent letters from the Debenture Trustee w.r.t. their consent to act as Debenture Trustee for the proposed issue.
bse-inprinciple-privateplacement-debtinstruments-bb498266,BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc,BSE,Documents / Information for in-principle approval of Private Placement Issue of ,Documents / Information for in-principle approval of Private Placement Issue of  item 4,bse-inprinciple-privateplacement-debtinstruments-bb498266#2,ITEM,4,2,1,1,False,False,0,Copy of Article of Association (AOA) and previous year's Audited Annual Report (only in case of the issuer seeking listing of its Debt instruments for the first time).
bse-post-issue-checklist-1d331cda,BSE_Post_Issue_Checklist.doc,BSE,"Documents required for granting listing approvals, for the securities issued und","Documents required for granting listing approvals, for the securities issued und Annexure I",bse-post-issue-checklist-1d331cda#0,ANNEXURE,I,0,1,1,False,False,879,
bse-post-issue-checklist-1d331cda,BSE_Post_Issue_Checklist.doc,BSE,"Documents required for granting listing approvals, for the securities issued und","Documents required for granting listing approvals, for the securities issued und Annexure II",bse-post-issue-checklist-1d331cda#1,ANNEXURE,II,0,1,1,False,False,1395,
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.1",companies-prospectus-and-allotment-of-securities-1f737c30#0,RULE,1,2,1,1,True,False,0,
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.1(1)",companies-prospectus-and-allotment-of-securities-1f737c30#1,SUB_RULE,1,3,1,1,False,False,0,"These rules may be called the Companies (Prospectus and Allotment of Securities) Rules, 2014."
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.1(2)",companies-prospectus-and-allotment-of-securities-1f737c30#2,SUB_RULE,2,3,1,1,False,False,12,"They shall come into force on the 1st day of April, 2014."
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2",companies-prospectus-and-allotment-of-securities-1f737c30#3,RULE,2,2,1,1,False,False,0,
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)",companies-prospectus-and-allotment-of-securities-1f737c30#4,SUB_RULE,1,3,1,1,False,False,0,"In these rules, unless the context otherwise requires,-"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(a)",companies-prospectus-and-allotment-of-securities-1f737c30#5,CLAUSE,a,4,1,1,False,False,0,"""Act"" means the Companies Act, 2013 (18 of 2013);"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(b)",companies-prospectus-and-allotment-of-securities-1f737c30#6,CLAUSE,b,4,1,1,False,False,0,"""Annexure"" means the Annexure to these rules;"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(c)",companies-prospectus-and-allotment-of-securities-1f737c30#7,CLAUSE,c,4,1,1,False,False,5,"""fees"" means fees as specified in the Companies (Registration Offices and Fees) Rules,"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(d)",companies-prospectus-and-allotment-of-securities-1f737c30#8,CLAUSE,d,4,1,1,False,False,40,"""Form"" or ""e-Form"" means a form set forth in Annexure to these rules which shall be"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(e)",companies-prospectus-and-allotment-of-securities-1f737c30#9,CLAUSE,e,4,1,1,False,False,53,"""Regional Director"" means the person appointed by the Central Government in the"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(1)(f)",companies-prospectus-and-allotment-of-securities-1f737c30#10,CLAUSE,f,4,1,1,False,False,0,"""section"" means section of the Act;"
companies-prospectus-and-allotment-of-securities-1f737c30,Companies (Prospectus and Allotment of Securities) Rules.pdf,MCA,"Companies (Prospectus and Allotment of Securities) Rules, 2014","Companies (Prospectus and Allotment of Securities) Rules, 2014 r.2(2)",companies-prospectus-and-allotment-of-securities-1f737c30#11,SUB_RULE,2,3,1,1,False,False,183,Words and expressions used in these rules but not defined and defined in the Act or in the Companies
