document_id,authority,source_priority,document_type,file_name,sha256,official_url,scope,page_count
bse-checklist-direct-listing-3157e150,BSE,P2,CHECKLIST,BSE_Checklist_Direct_Listing.doc,3157e150399fd66de84e2133b4f34187c0bb1296fb8a7d2c848c0766baff8cfb,https://www.bseindia.com/downloads1/CHECKLIST_FOR_DIRECT_LISTING_Nation_wide.doc,COMPANY,1
bse-faq-on-listing-facc6804,BSE,P1,FAQ,BSE_FAQ_on_Listing.pdf,facc680463cca862f41352683b241496404297b4a0e639bee29d8a8b916fbd30,https://www.bseindia.com/downloads1/FAQ_on_Listing.pdf,COMPANY,7
bse-inprinciple-privateplacement-debtinstruments-bb498266,BSE,P2,CHECKLIST,BSE_InPrinciple_PrivatePlacement_DebtInstruments.doc,bb498266265ab68bd669fb48933bfd12fadfee628053e0aeb95e0f1cefe60a99,https://www.bseindia.com/downloads1/In_principle_approval_of_PPDI.doc,COMPANY,1
bse-post-issue-checklist-1d331cda,BSE,P2,CHECKLIST,BSE_Post_Issue_Checklist.doc,1d331cdaed32bf1ba7740902cad675ea7d72e89083a02a7539baf7881e6b089c,https://www.bseindia.com/downloads/IPP_%20Post_Issue_Final.doc,COMPANY,1
281-qip-invits-0-20260504153924-8caab4a5,NSE,P2,UNKNOWN,281_QIP_InvITs_0_20260504153924.docx,8caab4a5910d6c10b8062405cd8b62dc42a513dec47597d3a45844920f0e9ddd,,REIT_INVIT,1
281-qip-reits-0-20260504154156-975ba7b5,NSE,P2,CHECKLIST,281_QIP_REITS_0_20260504154156.docx,975ba7b504883e435d77731b015b9786d977e55225a7be2b03d561b2fe36db1e,,REIT_INVIT,1
checklist-recommencement-of-trading-e30818a4,NSE,P2,CHECKLIST,Checklist_Recommencement_of_Trading.xlsx,e30818a46e615597695fc36f2c26d979a9681875c9928691d90be21a5ba463d3,,COMPANY,2
form-of-listing-aplication-487b76f1,NSE,P2,LISTING_REQUIREMENT,Form of Listing Aplication.docx,487b76f1350ecdb230721c8fe1a71acf8be3e83c03aee9072669ae51ba089c9d,,COMPANY,1
companies-prospectus-and-allotment-of-securities-1f737c30,MCA,P0,RULE,Companies (Prospectus and Allotment of Securities) Rules.pdf,1f737c304cbe9de4a6b2d87da2b94bca32b25ee00335f64cde13003f5d2a2ecd,,COMPANY,11
companies-share-capital-and-debentures-rules-64039399,MCA,P0,RULE,Companies (Share Capital and Debentures) Rules.pdf,640393992f3e8acfcb4d8fb4b1d38a3b4b4a1b06242b0838bd2d6a5b10941423,,COMPANY,25
download-post-allotment-a57e1202,NSE,P2,CHECKLIST,Download Post-Allotment.docx,a57e120201dcba4777049afc7a945c5a2b922cf2a2850f9db47605704ecb6b87,,COMPANY,1
points-to-remember-post-allotment-f6a19833,UNKNOWN,P3,UNKNOWN,Points to remember_post allotment.docx,f6a198339a9780062db4f20dec3688e3f74eac61a36caa2f26ef26995b4997a0,,COMPANY,1
download-pre-allotment-ace085af,NSE,P2,CHECKLIST,Download_Pre-Allotment_.docx,ace085af823ff28b152e2f975be94ba62ae43594a45773b9e37f580accc283bb,,COMPANY,1
part-i-d6ff87e8,NSE,P2,UNKNOWN,Part I.pdf,d6ff87e89be7478c879fc14a56126b3e4b2182122e2d9539c31d4e62f94cd031,,COMPANY,1
part-ii-e68713a9,NSE,P2,UNKNOWN,Part II.pdf,e68713a9730accb50df737745772caa8aefb8fe1a2907974ec0d53aec84d14df,,COMPANY,2
t-2-fpo-abe9b620,NSE,P2,UNKNOWN,T+2 FPO.pdf,abe9b620ced680725a51215c7f7c24948d8af5d8fc006306f1bb5cbfa00923f6,,COMPANY,2
t-3-fpo-if-nse-is-not-designated-stock-exchange-6e2c4256,NSE,P2,UNKNOWN,T+3 FPO if NSE is not Designated Stock Exchange.pdf,6e2c4256ccf073ed7c628b06b9f3f80812b728b13535a93c91bd674ab61d98aa,,COMPANY,1
t-3-fpo-cccb7af1,NSE,P2,UNKNOWN,T+3 FPO.pdf,cccb7af15d31ebc0e7e61dd0c7d792bc4638eea9589253842d83ce8f47d36d06,,COMPANY,3
t-4-fpo-c058fc65,NSE,P2,UNKNOWN,T+4 FPO.pdf,c058fc65cca6e50b8d4ca3b417a9623a8bb465f2279280efbd2b8d08ea261d19,,COMPANY,4
t-5-fpo-636f879e,NSE,P2,UNKNOWN,T+5 FPO.pdf,636f879e98cdacf66586637c228027f8ccd27e97d60d8d672f6284fc73416fd2,,COMPANY,1
fpo-inprinciple-checklist-revised-21d7cd1a,NSE,P2,CHECKLIST,FPO_Inprinciple_Checklist_Revised.pdf,21d7cd1abb5413798c2fd4cc7e956c37b91c8acc6dc5e70e908ebd47b3a90a30,,COMPANY,7
final-listing-preferential-14b337d2,NSE,P2,CHECKLIST,Final_Listing_Preferential.docx,14b337d20c407cbba18e741e763bace1b0188534f77a549fcf847ff3b37b440a,,COMPANY,1
final-listing-preferential-reit-7a090df0,UNKNOWN,P2,CHECKLIST,Final_Listing_Preferential_REIT.doc,7a090df0a372c7524b1b231ee677bdd9f15fa62841076b53264292a54a6859b2,,REIT_INVIT,1
inprinciple-approval-invits-0-1-e53ff681,UNKNOWN,P2,CHECKLIST,InPrinciple_Approval_InvITs_0_1.docx,e53ff681efa23e9e72710037723780fd4d6f6c96ffa3ea5141130793a5ffbbf7,,REIT_INVIT,1
inprinciple-approval-reit-0-0-8b1d3e9b,UNKNOWN,P2,CHECKLIST,InPrinciple_Approval_REIT_0_0.docx,8b1d3e9b4ce6ce0a85ffe11f4c5e3b26bd9c3079d249dbf2eff3305b6e69aa40,,REIT_INVIT,1
post-allotment-sweat-equity-0-0-85b03e42,NSE,P2,CHECKLIST,Post Allotment ( Sweat Equity )_0_0.docx,85b03e429cf18ed6f5fc39c98a58777971760e36276186f9500498d757bbf102,,COMPANY,1
post-allotment-invits-0-0-20260504153537-fe5d5a08,NSE,P2,CHECKLIST,Post_allotment_InvITs_0_0_20260504153537.docx,fe5d5a081c0ad52d0c00cd1a6958246d2ba6c090c1818a3b7ad79e5f3a7fb9a5,,REIT_INVIT,1
post-allotment-rights-0-dd3e7518,NSE,P2,CHECKLIST,Post_allotment_Rights_0.docx,dd3e7518d9f112cf02e01b8cb1dae807f1bbfb420cd7a3b63c0ce816d955036e,,COMPANY,1
post-allotment-pref-reit-0-20260504153658-dde2a535,NSE,P2,CHECKLIST,Post_allotment__Pref_REIT_0_20260504153658.docx,dde2a535531e6e74b1f04f06cd047d4998a164fc8f4adf628bb027a2c2097b32,,REIT_INVIT,1
pre-allotment-sweat-equity-4226094c,NSE,P2,CHECKLIST,Pre-allotment_(Sweat Equity).docx,4226094ca7af070f1fda75242459560fc3eb4291c83a9599807f80eb79102cda,,COMPANY,1
checklist-preferential-issue-pre-ffe507ab,UNKNOWN,P2,CHECKLIST,Checklist_Preferential_issue_Pre.docx,ffe507ab14abd6afe22390a0eb4c36dcdec0c32546e6e28a1cbaa57ca0cda291,,COMPANY,1
extract-of-icdr-189995d8,UNKNOWN,P3,UNKNOWN,Extract of ICDR.pdf,189995d831638b9fe6d2bb0beadf79ca48b18375ccc49344623c77ba5506b7a3,,COMPANY,21
points-to-remember-28-1-6be45481,UNKNOWN,P3,UNKNOWN,Points to remember_28(1).docx,6be45481161341e460fd5374938c6aa5290db6e32de5487e8549e1e26e3fb3e1,,COMPANY,1
